Date,explanation,lie,url
2017-03-17,There's at least one insurer in every Tennessee county.,"I was in Tennessee — I was just telling the folks — and half of the state has no insurance company, and the other half is going to lose the insurance company.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-03-20,Much of the cost cuts were planned before Trump.,"With just one negotiation on one set of airplanes, I saved the taxpayers of our country over $700 million.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-03-21,Much of the cost cuts were planned before Trump.,"To save taxpayer dollars, I’ve already begun negotiating better contracts for the federal government — saving over $700 million on just one set of airplanes of which there are many sets.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-03-22,Riots in Sweden broke out two days later and there were no deaths.,"I make the statement, everyone goes crazy. The next day they have a massive riot, and death, and problems.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-03-22,It has fought terrorism since the 1980s.,"NATO, obsolete, because it doesn’t cover terrorism. They fixed that.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-03-22,There's no evidence of widespread voter fraud.,"Well, now, if you take a look at the votes, when I say that, I mean mostly they register wrong — in other words, for the votes, they register incorrectly and/or illegally. And they then vote. You have tremendous numbers of people.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-03-29,It didn't apologize.,"Remember when the failing @nytimes apologized to its subscribers, right after the election, because their coverage was so wrong. Now worse!",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-03-31,These investments were already planned.,"We have a lot of plants going up now in Michigan that were never going to be there if I — if I didn’t win this election, those plants would never even think about going back. They were gone.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-04-02,He was for an invasion before he was against it.,"And I was totally opposed to the war in the Middle East which I think finally has been proven, people tried very hard to say I wasn’t but you’ve seen that it is now improving.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-04-02,There is still no evidence.,"Now, my last tweet — you know, the one that you are talking about, perhaps — was the one about being, in quotes, wiretapped, meaning surveilled. Guess what, it is turning out to be true.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-04-05,Every marketplace region in Tennessee had at least one insurer.,You have many states coming up where they’re going to have no insurance company. O.K.? It’s already happened in Tennessee. It’s happening in Kentucky. Tennessee only has half coverage. Half the state is gone. They left.,https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-04-06,Much of the price cuts were already projected.,"If you look at the kind of cost-cutting we’ve been able to achieve with the military and at the same time ordering vast amounts of equipment — saved hundreds of millions of dollars on airplanes, and really billions, because if you take that out over a period of years it’s many billions of dollars — I think we’ve had a tremendous success.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-04-11,He knew Steve Bannon since 2011.,"I like Steve, but you have to remember he was not involved in my campaign until very late. I had already beaten all the senators and all the governors, and I didn’t know Steve.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-04-12,"At this point, he had not nominated anyone for hundreds of positions.","You can't do it faster, because they're obstructing. They're obstructionists. So I have people — hundreds of people that we're trying to get through. I mean you have — you see the backlog. We can't get them through.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-04-12,"There were separate headlines for print and web, but neither were altered.",The New York Times said the word wiretapped in the headline of the first edition. Then they took it out of there fast when they realized.,https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-04-12,NATO has been engaged in counterterrorism efforts since the 1980s.,"The secretary general and I had a productive discussion about what more NATO can do in the fight against terrorism. I complained about that a long time ago and they made a change, and now they do fight terrorism.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-04-12,The campaign was expected to take months.,Mosul was supposed to last for a week and now they’ve been fighting it for many months and so many more people died.,https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-04-16,There's no evidence of paid protesters.,Someone should look into who paid for the small organized rallies yesterday. The election is over!,https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-04-18,He did.,"The fake media goes, ‘Donald Trump changed his stance on China.’ I haven’t changed my stance.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-04-21,Much of the price cuts were already projected.,"On 90 planes I saved $725 million. It's actually a little bit more than that, but it's $725 million.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-04-21,He criticized it as early as 2010.,"When WikiLeaks came out ... never heard of WikiLeaks, never heard of it.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-04-27,The bill to extend health benefits for certain coal miners was introduced by a Democrat and was co-sponsored by mostly Democrats.,I want to help our miners while the Democrats are blocking their healthcare.,https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-04-28,"The U.S. had an $8.1 billion trade surplus, not deficit, with Canada in 2016.","The trade deficit with Mexico is close to $70 billion, even with Canada it’s $17 billion trade deficit with Canada.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-04-28,Those are not Jon Ossoff's positions.,"She's running against someone who's going to raise your taxes to the sky, destroy your health care, and he's for open borders — lots of crime.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-04-28,Much of the price cuts were planned before Trump.,"The F-35 fighter jet program — it was way over budget. I’ve saved $725 million plus, just by getting involved in the negotiation.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-04-29,China stopped years ago.,"As you know, I've been a big critic of China, and I've been talking about currency manipulation for a long time. But I have to tell you that during the election, number one, they stopped.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
2017-04-29,Much of the price cuts were planned before Trump.,I've already saved more than $725 million on a simple order of F-35 planes. I got involved in the negotiation.,https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the
